negotiation_date,sold_price,product
07/01/2014,308.33,Polpa Cítrica
08/01/2014,300.67,Polpa Cítrica
09/01/2014,295.0,Polpa Cítrica
10/01/2014,324.0,Polpa Cítrica
11/01/2014,250.71,Polpa Cítrica
12/01/2014,250.0,Polpa Cítrica
15/01/2014,305.0,Polpa Cítrica
21/01/2014,335.0,Polpa Cítrica
22/01/2014,338.5,Polpa Cítrica
23/01/2014,336.75,Polpa Cítrica
24/01/2014,330.0,Polpa Cítrica
27/01/2014,320.0,Polpa Cítrica
28/01/2014,356.25,Polpa Cítrica
30/01/2014,330.0,Polpa Cítrica
31/01/2014,314.64,Polpa Cítrica
01/02/2014,280.0,Polpa Cítrica
06/02/2014,345.0,Polpa Cítrica
07/02/2014,315.94,Polpa Cítrica
08/02/2014,290.0,Polpa Cítrica
09/02/2014,301.8,Polpa Cítrica
10/02/2014,307.0,Polpa Cítrica
11/02/2014,284.0,Polpa Cítrica
12/02/2014,276.43,Polpa Cítrica
13/02/2014,401.86,Polpa Cítrica
14/02/2014,438.5,Polpa Cítrica
15/02/2014,415.0,Polpa Cítrica
17/02/2014,421.62,Polpa Cítrica
18/02/2014,423.11,Polpa Cítrica
19/02/2014,340.0,Polpa Cítrica
21/02/2014,403.33,Polpa Cítrica
22/02/2014,423.5,Polpa Cítrica
24/02/2014,428.75,Polpa Cítrica
26/02/2014,415.0,Polpa Cítrica
01/03/2014,250.0,Polpa Cítrica
02/03/2014,330.0,Polpa Cítrica
04/03/2014,545.0,Polpa Cítrica
06/03/2014,286.0,Polpa Cítrica
07/03/2014,281.0,Polpa Cítrica
08/03/2014,305.0,Polpa Cítrica
09/03/2014,309.25,Polpa Cítrica
10/03/2014,285.0,Polpa Cítrica
11/03/2014,268.67,Polpa Cítrica
12/03/2014,260.83,Polpa Cítrica
14/03/2014,430.0,Polpa Cítrica
15/03/2014,523.0,Polpa Cítrica
21/03/2014,515.0,Polpa Cítrica
01/04/2014,285.0,Polpa Cítrica
02/04/2014,335.71,Polpa Cítrica
04/04/2014,545.5,Polpa Cítrica
06/04/2014,337.0,Polpa Cítrica
07/04/2014,323.71,Polpa Cítrica
09/04/2014,306.25,Polpa Cítrica
11/04/2014,254.6,Polpa Cítrica
12/04/2014,260.0,Polpa Cítrica
17/04/2014,525.0,Polpa Cítrica
25/04/2014,515.0,Polpa Cítrica
26/04/2014,515.0,Polpa Cítrica
28/04/2014,494.0,Polpa Cítrica
29/04/2014,500.0,Polpa Cítrica
30/04/2014,495.0,Polpa Cítrica
01/05/2014,295.0,Polpa Cítrica
02/05/2014,350.67,Polpa Cítrica
04/05/2014,551.5,Polpa Cítrica
06/05/2014,289.17,Polpa Cítrica
07/05/2014,305.2,Polpa Cítrica
08/05/2014,304.33,Polpa Cítrica
09/05/2014,307.33,Polpa Cítrica
11/05/2014,263.6,Polpa Cítrica
12/05/2014,251.42,Polpa Cítrica
13/05/2014,280.0,Polpa Cítrica
14/05/2014,426.25,Polpa Cítrica
15/05/2014,307.5,Polpa Cítrica
16/05/2014,310.5,Polpa Cítrica
17/05/2014,345.0,Polpa Cítrica
19/05/2014,350.0,Polpa Cítrica
21/05/2014,310.0,Polpa Cítrica
24/05/2014,277.0,Polpa Cítrica
25/05/2014,330.0,Polpa Cítrica
26/05/2014,350.0,Polpa Cítrica
27/05/2014,278.5,Polpa Cítrica
28/05/2014,322.33,Polpa Cítrica
29/05/2014,328.25,Polpa Cítrica
30/05/2014,320.0,Polpa Cítrica
31/05/2014,315.25,Polpa Cítrica
01/06/2014,292.0,Polpa Cítrica
02/06/2014,344.25,Polpa Cítrica
03/06/2014,453.0,Polpa Cítrica
06/06/2014,290.0,Polpa Cítrica
07/06/2014,305.0,Polpa Cítrica
08/06/2014,317.5,Polpa Cítrica
09/06/2014,335.0,Polpa Cítrica
10/06/2014,315.0,Polpa Cítrica
11/06/2014,255.7,Polpa Cítrica
12/06/2014,285.33,Polpa Cítrica
13/06/2014,345.0,Polpa Cítrica
14/06/2014,306.5,Polpa Cítrica
15/06/2014,320.0,Polpa Cítrica
16/06/2014,316.67,Polpa Cítrica
17/06/2014,336.25,Polpa Cítrica
18/06/2014,317.75,Polpa Cítrica
19/06/2014,311.5,Polpa Cítrica
20/06/2014,336.8,Polpa Cítrica
21/06/2014,305.0,Polpa Cítrica
22/06/2014,317.5,Polpa Cítrica
23/06/2014,340.67,Polpa Cítrica
24/06/2014,292.4,Polpa Cítrica
25/06/2014,309.8,Polpa Cítrica
26/06/2014,305.5,Polpa Cítrica
27/06/2014,326.58,Polpa Cítrica
28/06/2014,307.17,Polpa Cítrica
29/06/2014,305.0,Polpa Cítrica
30/06/2014,303.25,Polpa Cítrica
01/07/2014,305.67,Polpa Cítrica
02/07/2014,358.5,Polpa Cítrica
03/07/2014,455.33,Polpa Cítrica
04/07/2014,543.0,Polpa Cítrica
06/07/2014,302.8,Polpa Cítrica
07/07/2014,299.5,Polpa Cítrica
08/07/2014,340.0,Polpa Cítrica
09/07/2014,320.0,Polpa Cítrica
10/07/2014,304.5,Polpa Cítrica
11/07/2014,245.5,Polpa Cítrica
12/07/2014,255.0,Polpa Cítrica
13/07/2014,304.0,Polpa Cítrica
14/07/2014,305.0,Polpa Cítrica
15/07/2014,306.75,Polpa Cítrica
16/07/2014,302.6,Polpa Cítrica
17/07/2014,306.0,Polpa Cítrica
18/07/2014,313.0,Polpa Cítrica
19/07/2014,297.4,Polpa Cítrica
21/07/2014,298.5,Polpa Cítrica
22/07/2014,293.0,Polpa Cítrica
23/07/2014,311.0,Polpa Cítrica
24/07/2014,313.83,Polpa Cítrica
25/07/2014,305.5,Polpa Cítrica
26/07/2014,321.25,Polpa Cítrica
27/07/2014,320.0,Polpa Cítrica
28/07/2014,295.67,Polpa Cítrica
29/07/2014,298.22,Polpa Cítrica
30/07/2014,291.25,Polpa Cítrica
31/07/2014,307.12,Polpa Cítrica
01/08/2014,280.0,Polpa Cítrica
03/08/2014,460.0,Polpa Cítrica
04/08/2014,528.33,Polpa Cítrica
06/08/2014,327.5,Polpa Cítrica
08/08/2014,301.67,Polpa Cítrica
10/08/2014,305.0,Polpa Cítrica
11/08/2014,256.25,Polpa Cítrica
12/08/2014,248.33,Polpa Cítrica
13/08/2014,301.67,Polpa Cítrica
14/08/2014,314.67,Polpa Cítrica
15/08/2014,318.75,Polpa Cítrica
16/08/2014,328.33,Polpa Cítrica
17/08/2014,305.0,Polpa Cítrica
19/08/2014,325.0,Polpa Cítrica
20/08/2014,315.0,Polpa Cítrica
21/08/2014,317.5,Polpa Cítrica
22/08/2014,313.33,Polpa Cítrica
23/08/2014,295.0,Polpa Cítrica
25/08/2014,306.5,Polpa Cítrica
26/08/2014,291.0,Polpa Cítrica
27/08/2014,305.0,Polpa Cítrica
29/08/2014,301.38,Polpa Cítrica
30/08/2014,326.0,Polpa Cítrica
31/08/2014,315.0,Polpa Cítrica
01/09/2014,292.5,Polpa Cítrica
04/09/2014,525.0,Polpa Cítrica
06/09/2014,335.0,Polpa Cítrica
07/09/2014,320.0,Polpa Cítrica
08/09/2014,293.5,Polpa Cítrica
09/09/2014,309.56,Polpa Cítrica
10/09/2014,287.4,Polpa Cítrica
12/09/2014,261.67,Polpa Cítrica
13/09/2014,307.5,Polpa Cítrica
15/09/2014,299.67,Polpa Cítrica
16/09/2014,322.5,Polpa Cítrica
17/09/2014,310.67,Polpa Cítrica
18/09/2014,310.0,Polpa Cítrica
19/09/2014,307.56,Polpa Cítrica
20/09/2014,319.83,Polpa Cítrica
21/09/2014,297.0,Polpa Cítrica
22/09/2014,315.0,Polpa Cítrica
23/09/2014,302.5,Polpa Cítrica
24/09/2014,310.0,Polpa Cítrica
25/09/2014,309.33,Polpa Cítrica
26/09/2014,305.2,Polpa Cítrica
27/09/2014,305.67,Polpa Cítrica
29/09/2014,315.0,Polpa Cítrica
30/09/2014,310.25,Polpa Cítrica
01/10/2014,245.0,Polpa Cítrica
02/10/2014,340.0,Polpa Cítrica
03/10/2014,458.0,Polpa Cítrica
06/10/2014,280.0,Polpa Cítrica
07/10/2014,315.0,Polpa Cítrica
09/10/2014,300.0,Polpa Cítrica
10/10/2014,309.0,Polpa Cítrica
11/10/2014,259.43,Polpa Cítrica
12/10/2014,325.0,Polpa Cítrica
13/10/2014,302.0,Polpa Cítrica
14/10/2014,251.4,Polpa Cítrica
15/10/2014,276.25,Polpa Cítrica
16/10/2014,263.67,Polpa Cítrica
17/10/2014,276.5,Polpa Cítrica
18/10/2014,256.0,Polpa Cítrica
19/10/2014,255.0,Polpa Cítrica
20/10/2014,248.0,Polpa Cítrica
21/10/2014,246.4,Polpa Cítrica
22/10/2014,277.0,Polpa Cítrica
23/10/2014,255.88,Polpa Cítrica
24/10/2014,265.56,Polpa Cítrica
25/10/2014,270.75,Polpa Cítrica
26/10/2014,236.5,Polpa Cítrica
27/10/2014,273.33,Polpa Cítrica
28/10/2014,292.6,Polpa Cítrica
29/10/2014,262.8,Polpa Cítrica
30/10/2014,260.33,Polpa Cítrica
31/10/2014,265.27,Polpa Cítrica
01/11/2014,276.5,Polpa Cítrica
02/11/2014,340.0,Polpa Cítrica
04/11/2014,475.0,Polpa Cítrica
06/11/2014,310.0,Polpa Cítrica
07/11/2014,305.0,Polpa Cítrica
08/11/2014,300.67,Polpa Cítrica
09/11/2014,302.5,Polpa Cítrica
10/11/2014,264.25,Polpa Cítrica
11/11/2014,265.43,Polpa Cítrica
12/11/2014,281.67,Polpa Cítrica
13/11/2014,242.25,Polpa Cítrica
14/11/2014,252.67,Polpa Cítrica
15/11/2014,235.0,Polpa Cítrica
16/11/2014,255.5,Polpa Cítrica
17/11/2014,241.33,Polpa Cítrica
18/11/2014,295.0,Polpa Cítrica
19/11/2014,258.0,Polpa Cítrica
20/11/2014,257.5,Polpa Cítrica
21/11/2014,258.0,Polpa Cítrica
22/11/2014,241.5,Polpa Cítrica
23/11/2014,270.0,Polpa Cítrica
25/11/2014,261.88,Polpa Cítrica
26/11/2014,265.57,Polpa Cítrica
27/11/2014,259.33,Polpa Cítrica
28/11/2014,260.0,Polpa Cítrica
29/11/2014,255.0,Polpa Cítrica
30/11/2014,286.67,Polpa Cítrica
01/12/2014,285.0,Polpa Cítrica
02/12/2014,368.0,Polpa Cítrica
03/12/2014,470.0,Polpa Cítrica
04/12/2014,516.25,Polpa Cítrica
07/12/2014,320.0,Polpa Cítrica
08/12/2014,308.5,Polpa Cítrica
09/12/2014,309.5,Polpa Cítrica
10/12/2014,230.0,Polpa Cítrica
11/12/2014,245.33,Polpa Cítrica
12/12/2014,273.33,Polpa Cítrica
13/12/2014,315.0,Polpa Cítrica
14/12/2014,278.33,Polpa Cítrica
15/12/2014,295.0,Polpa Cítrica
16/12/2014,298.33,Polpa Cítrica
17/12/2014,311.0,Polpa Cítrica
18/12/2014,304.17,Polpa Cítrica
19/12/2014,290.0,Polpa Cítrica
20/12/2014,310.0,Polpa Cítrica
21/12/2014,315.0,Polpa Cítrica
22/12/2014,299.0,Polpa Cítrica
23/12/2014,294.5,Polpa Cítrica
24/12/2014,247.0,Polpa Cítrica
27/12/2014,295.0,Polpa Cítrica
29/12/2014,237.0,Polpa Cítrica
04/01/2015,360.0,Polpa Cítrica
05/01/2015,375.0,Polpa Cítrica
07/01/2015,263.33,Polpa Cítrica
08/01/2015,270.0,Polpa Cítrica
09/01/2015,250.0,Polpa Cítrica
10/01/2015,262.0,Polpa Cítrica
11/01/2015,275.33,Polpa Cítrica
12/01/2015,280.83,Polpa Cítrica
13/01/2015,320.0,Polpa Cítrica
14/01/2015,307.57,Polpa Cítrica
15/01/2015,317.5,Polpa Cítrica
16/01/2015,313.75,Polpa Cítrica
17/01/2015,314.44,Polpa Cítrica
18/01/2015,315.0,Polpa Cítrica
19/01/2015,317.0,Polpa Cítrica
20/01/2015,310.71,Polpa Cítrica
21/01/2015,321.0,Polpa Cítrica
22/01/2015,312.25,Polpa Cítrica
24/01/2015,315.0,Polpa Cítrica
26/01/2015,310.0,Polpa Cítrica
27/01/2015,313.38,Polpa Cítrica
28/01/2015,316.07,Polpa Cítrica
29/01/2015,366.64,Polpa Cítrica
30/01/2015,427.5,Polpa Cítrica
31/01/2015,365.0,Polpa Cítrica
03/02/2015,380.0,Polpa Cítrica
04/02/2015,360.0,Polpa Cítrica
06/02/2015,263.43,Polpa Cítrica
07/02/2015,260.82,Polpa Cítrica
09/02/2015,250.33,Polpa Cítrica
10/02/2015,271.83,Polpa Cítrica
12/02/2015,280.0,Polpa Cítrica
13/02/2015,360.0,Polpa Cítrica
14/02/2015,360.0,Polpa Cítrica
18/02/2015,369.39,Polpa Cítrica
24/02/2015,357.0,Polpa Cítrica
26/02/2015,380.0,Polpa Cítrica
27/02/2015,377.5,Polpa Cítrica
28/02/2015,390.0,Polpa Cítrica
06/03/2015,267.6,Polpa Cítrica
07/03/2015,258.33,Polpa Cítrica
08/03/2015,261.67,Polpa Cítrica
09/03/2015,244.0,Polpa Cítrica
10/03/2015,262.0,Polpa Cítrica
12/03/2015,274.86,Polpa Cítrica
17/03/2015,388.25,Polpa Cítrica
18/03/2015,365.0,Polpa Cítrica
19/03/2015,380.0,Polpa Cítrica
24/03/2015,380.0,Polpa Cítrica
27/03/2015,357.0,Polpa Cítrica
28/03/2015,340.0,Polpa Cítrica
29/03/2015,340.0,Polpa Cítrica
30/03/2015,375.0,Polpa Cítrica
31/03/2015,370.0,Polpa Cítrica
07/04/2015,265.0,Polpa Cítrica
08/04/2015,254.0,Polpa Cítrica
09/04/2015,253.33,Polpa Cítrica
10/04/2015,267.5,Polpa Cítrica
11/04/2015,270.0,Polpa Cítrica
12/04/2015,278.5,Polpa Cítrica
13/04/2015,357.6,Polpa Cítrica
14/04/2015,356.5,Polpa Cítrica
15/04/2015,353.33,Polpa Cítrica
16/04/2015,355.0,Polpa Cítrica
17/04/2015,362.5,Polpa Cítrica
18/04/2015,363.0,Polpa Cítrica
19/04/2015,350.0,Polpa Cítrica
22/04/2015,360.0,Polpa Cítrica
23/04/2015,352.5,Polpa Cítrica
24/04/2015,352.5,Polpa Cítrica
25/04/2015,355.0,Polpa Cítrica
27/04/2015,352.5,Polpa Cítrica
29/04/2015,357.5,Polpa Cítrica
30/04/2015,363.0,Polpa Cítrica
02/05/2015,347.5,Polpa Cítrica
03/05/2015,370.0,Polpa Cítrica
05/05/2015,350.0,Polpa Cítrica
06/05/2015,275.0,Polpa Cítrica
07/05/2015,261.1,Polpa Cítrica
08/05/2015,267.17,Polpa Cítrica
09/05/2015,240.0,Polpa Cítrica
10/05/2015,267.5,Polpa Cítrica
11/05/2015,260.0,Polpa Cítrica
12/05/2015,284.17,Polpa Cítrica
13/05/2015,336.32,Polpa Cítrica
14/05/2015,314.65,Polpa Cítrica
15/05/2015,305.0,Polpa Cítrica
16/05/2015,315.0,Polpa Cítrica
18/05/2015,295.0,Polpa Cítrica
19/05/2015,305.0,Polpa Cítrica
20/05/2015,295.44,Polpa Cítrica
21/05/2015,280.0,Polpa Cítrica
22/05/2015,289.33,Polpa Cítrica
23/05/2015,278.33,Polpa Cítrica
25/05/2015,291.67,Polpa Cítrica
26/05/2015,293.07,Polpa Cítrica
27/05/2015,290.5,Polpa Cítrica
28/05/2015,290.0,Polpa Cítrica
29/05/2015,295.0,Polpa Cítrica
30/05/2015,268.75,Polpa Cítrica
31/05/2015,275.0,Polpa Cítrica
01/06/2015,310.0,Polpa Cítrica
02/06/2015,365.0,Polpa Cítrica
03/06/2015,373.33,Polpa Cítrica
06/06/2015,276.5,Polpa Cítrica
07/06/2015,285.0,Polpa Cítrica
08/06/2015,245.0,Polpa Cítrica
10/06/2015,274.0,Polpa Cítrica
11/06/2015,277.5,Polpa Cítrica
12/06/2015,281.0,Polpa Cítrica
13/06/2015,264.25,Polpa Cítrica
14/06/2015,270.0,Polpa Cítrica
15/06/2015,265.0,Polpa Cítrica
16/06/2015,267.5,Polpa Cítrica
17/06/2015,265.0,Polpa Cítrica
18/06/2015,266.25,Polpa Cítrica
19/06/2015,271.67,Polpa Cítrica
20/06/2015,270.0,Polpa Cítrica
22/06/2015,263.33,Polpa Cítrica
23/06/2015,267.5,Polpa Cítrica
24/06/2015,269.0,Polpa Cítrica
25/06/2015,263.75,Polpa Cítrica
26/06/2015,270.0,Polpa Cítrica
27/06/2015,258.33,Polpa Cítrica
29/06/2015,270.0,Polpa Cítrica
30/06/2015,250.0,Polpa Cítrica
01/07/2015,303.8,Polpa Cítrica
02/07/2015,352.5,Polpa Cítrica
03/07/2015,380.0,Polpa Cítrica
04/07/2015,356.5,Polpa Cítrica
05/07/2015,328.33,Polpa Cítrica
07/07/2015,267.5,Polpa Cítrica
08/07/2015,235.91,Polpa Cítrica
10/07/2015,270.83,Polpa Cítrica
11/07/2015,281.0,Polpa Cítrica
12/07/2015,277.73,Polpa Cítrica
13/07/2015,262.77,Polpa Cítrica
14/07/2015,260.3,Polpa Cítrica
15/07/2015,261.0,Polpa Cítrica
16/07/2015,259.11,Polpa Cítrica
17/07/2015,267.61,Polpa Cítrica
18/07/2015,259.33,Polpa Cítrica
20/07/2015,268.33,Polpa Cítrica
21/07/2015,259.17,Polpa Cítrica
22/07/2015,271.0,Polpa Cítrica
23/07/2015,275.96,Polpa Cítrica
24/07/2015,256.66,Polpa Cítrica
25/07/2015,257.0,Polpa Cítrica
26/07/2015,272.5,Polpa Cítrica
27/07/2015,258.5,Polpa Cítrica
28/07/2015,269.91,Polpa Cítrica
29/07/2015,269.79,Polpa Cítrica
30/07/2015,262.23,Polpa Cítrica
31/07/2015,260.03,Polpa Cítrica
01/08/2015,295.0,Polpa Cítrica
04/08/2015,351.67,Polpa Cítrica
05/08/2015,347.5,Polpa Cítrica
07/08/2015,267.5,Polpa Cítrica
08/08/2015,238.0,Polpa Cítrica
09/08/2015,257.5,Polpa Cítrica
10/08/2015,272.5,Polpa Cítrica
12/08/2015,283.33,Polpa Cítrica
13/08/2015,251.67,Polpa Cítrica
14/08/2015,249.0,Polpa Cítrica
15/08/2015,247.0,Polpa Cítrica
17/08/2015,246.67,Polpa Cítrica
18/08/2015,234.0,Polpa Cítrica
19/08/2015,258.32,Polpa Cítrica
20/08/2015,240.0,Polpa Cítrica
21/08/2015,230.42,Polpa Cítrica
24/08/2015,239.58,Polpa Cítrica
25/08/2015,217.67,Polpa Cítrica
26/08/2015,220.71,Polpa Cítrica
27/08/2015,222.6,Polpa Cítrica
28/08/2015,253.87,Polpa Cítrica
29/08/2015,248.75,Polpa Cítrica
30/08/2015,250.0,Polpa Cítrica
31/08/2015,260.0,Polpa Cítrica
01/09/2015,307.0,Polpa Cítrica
02/09/2015,382.9,Polpa Cítrica
04/09/2015,352.67,Polpa Cítrica
05/09/2015,336.0,Polpa Cítrica
06/09/2015,267.0,Polpa Cítrica
07/09/2015,268.33,Polpa Cítrica
08/09/2015,237.77,Polpa Cítrica
09/09/2015,265.2,Polpa Cítrica
10/09/2015,280.0,Polpa Cítrica
12/09/2015,286.88,Polpa Cítrica
13/09/2015,270.0,Polpa Cítrica
14/09/2015,261.1,Polpa Cítrica
16/09/2015,254.15,Polpa Cítrica
17/09/2015,263.0,Polpa Cítrica
18/09/2015,263.33,Polpa Cítrica
19/09/2015,267.5,Polpa Cítrica
21/09/2015,259.82,Polpa Cítrica
22/09/2015,275.0,Polpa Cítrica
23/09/2015,262.5,Polpa Cítrica
24/09/2015,260.0,Polpa Cítrica
25/09/2015,270.0,Polpa Cítrica
26/09/2015,275.0,Polpa Cítrica
27/09/2015,270.0,Polpa Cítrica
28/09/2015,270.0,Polpa Cítrica
29/09/2015,268.33,Polpa Cítrica
30/09/2015,266.0,Polpa Cítrica
01/10/2015,310.22,Polpa Cítrica
03/10/2015,375.0,Polpa Cítrica
04/10/2015,350.0,Polpa Cítrica
06/10/2015,271.0,Polpa Cítrica
07/10/2015,261.25,Polpa Cítrica
08/10/2015,235.0,Polpa Cítrica
09/10/2015,280.0,Polpa Cítrica
10/10/2015,267.78,Polpa Cítrica
11/10/2015,273.29,Polpa Cítrica
12/10/2015,275.0,Polpa Cítrica
13/10/2015,275.0,Polpa Cítrica
14/10/2015,280.0,Polpa Cítrica
15/10/2015,275.05,Polpa Cítrica
16/10/2015,278.93,Polpa Cítrica
17/10/2015,267.86,Polpa Cítrica
18/10/2015,283.75,Polpa Cítrica
19/10/2015,272.5,Polpa Cítrica
20/10/2015,276.25,Polpa Cítrica
21/10/2015,265.71,Polpa Cítrica
22/10/2015,275.7,Polpa Cítrica
23/10/2015,270.46,Polpa Cítrica
24/10/2015,268.62,Polpa Cítrica
25/10/2015,280.0,Polpa Cítrica
26/10/2015,265.0,Polpa Cítrica
27/10/2015,272.5,Polpa Cítrica
28/10/2015,277.5,Polpa Cítrica
29/10/2015,268.44,Polpa Cítrica
30/10/2015,275.29,Polpa Cítrica
31/10/2015,277.5,Polpa Cítrica
02/11/2015,370.0,Polpa Cítrica
03/11/2015,385.0,Polpa Cítrica
04/11/2015,364.0,Polpa Cítrica
05/11/2015,340.0,Polpa Cítrica
06/11/2015,262.5,Polpa Cítrica
07/11/2015,262.5,Polpa Cítrica
08/11/2015,247.69,Polpa Cítrica
09/11/2015,250.0,Polpa Cítrica
11/11/2015,276.0,Polpa Cítrica
12/11/2015,285.59,Polpa Cítrica
13/11/2015,267.5,Polpa Cítrica
14/11/2015,282.86,Polpa Cítrica
15/11/2015,281.4,Polpa Cítrica
16/11/2015,283.66,Polpa Cítrica
17/11/2015,281.25,Polpa Cítrica
18/11/2015,278.6,Polpa Cítrica
19/11/2015,282.14,Polpa Cítrica
20/11/2015,279.5,Polpa Cítrica
21/11/2015,287.5,Polpa Cítrica
22/11/2015,276.67,Polpa Cítrica
23/11/2015,272.0,Polpa Cítrica
24/11/2015,278.83,Polpa Cítrica
25/11/2015,280.48,Polpa Cítrica
26/11/2015,272.6,Polpa Cítrica
27/11/2015,274.38,Polpa Cítrica
28/11/2015,281.22,Polpa Cítrica
29/11/2015,280.0,Polpa Cítrica
01/12/2015,315.0,Polpa Cítrica
02/12/2015,351.43,Polpa Cítrica
03/12/2015,400.0,Polpa Cítrica
05/12/2015,332.62,Polpa Cítrica
08/12/2015,242.45,Polpa Cítrica
09/12/2015,251.25,Polpa Cítrica
11/12/2015,274.41,Polpa Cítrica
12/12/2015,284.38,Polpa Cítrica
13/12/2015,278.53,Polpa Cítrica
14/12/2015,274.5,Polpa Cítrica
15/12/2015,283.75,Polpa Cítrica
16/12/2015,276.88,Polpa Cítrica
17/12/2015,276.44,Polpa Cítrica
18/12/2015,280.71,Polpa Cítrica
19/12/2015,287.4,Polpa Cítrica
20/12/2015,288.11,Polpa Cítrica
21/12/2015,288.33,Polpa Cítrica
22/12/2015,291.67,Polpa Cítrica
